$NUMS 001
$STOM
#
# machine: 10 MV, 9E
# generated from
# algorithm: Electron_EMC1028
# beam data: 10 MV 9 MeV EMC
# data: EnergySpectrumForOpenBeam
#
%VERSION 02
%DATE 13-01-2021
%BMTY ELE
%ENERGY 009.00
%TYPE EnergySpectrumForOpenBeam
%Chi2 0.00732248
%eWeight 0.462277
%xWeight 1e-005
%Id Primary Source e-
<+000.5 +000.0 +000.0 +000.000>
<+001.0 +000.0 +000.0 +000.002>
<+001.5 +000.0 +000.0 +000.003>
<+002.0 +000.0 +000.0 +000.002>
<+002.5 +000.0 +000.0 +000.000>
<+003.0 +000.0 +000.0 +000.001>
<+003.5 +000.0 +000.0 +000.003>
<+004.0 +000.0 +000.0 +000.005>
<+004.5 +000.0 +000.0 +000.004>
<+005.0 +000.0 +000.0 +000.002>
<+005.5 +000.0 +000.0 +000.000>
<+006.0 +000.0 +000.0 +000.000>
<+006.5 +000.0 +000.0 +000.000>
<+007.0 +000.0 +000.0 +000.000>
<+007.5 +000.0 +000.0 +000.000>
<+008.0 +000.0 +000.0 +000.008>
<+008.5 +000.0 +000.0 +000.034>
<+009.0 +000.0 +000.0 +000.068>
<+009.5 +000.0 +000.0 +000.095>
<+010.0 +000.0 +000.0 +000.101>
<+010.5 +000.0 +000.0 +000.080>
<+011.0 +000.0 +000.0 +000.043>
<+011.5 +000.0 +000.0 +000.012>
<+012.0 +000.0 +000.0 +000.000>
<+012.5 +000.0 +000.0 +000.000>
<+013.0 +000.0 +000.0 +000.000>
<+013.5 +000.0 +000.0 +000.000>
<+014.0 +000.0 +000.0 +000.000>
<+014.5 +000.0 +000.0 +000.000>
<+015.0 +000.0 +000.0 +000.000>
<+015.5 +000.0 +000.0 +000.000>
<+016.0 +000.0 +000.0 +000.000>
<+016.5 +000.0 +000.0 +000.000>
<+017.0 +000.0 +000.0 +000.000>
<+017.5 +000.0 +000.0 +000.000>
<+018.0 +000.0 +000.0 +000.000>
<+018.5 +000.0 +000.0 +000.000>
<+019.0 +000.0 +000.0 +000.000>
<+019.5 +000.0 +000.0 +000.000>
<+020.0 +000.0 +000.0 +000.000>
<+020.5 +000.0 +000.0 +000.000>
<+021.0 +000.0 +000.0 +000.000>
<+021.5 +000.0 +000.0 +000.000>
<+022.0 +000.0 +000.0 +000.000>
<+022.5 +000.0 +000.0 +000.000>
<+023.0 +000.0 +000.0 +000.000>
<+023.5 +000.0 +000.0 +000.000>
<+024.0 +000.0 +000.0 +000.000>
<+024.5 +000.0 +000.0 +000.000>
<+025.0 +000.0 +000.0 +000.000>
$ENOM
$ENOF
